"보고 시작","보고 종료","광고 이름","광고 게재","광고 세트 이름",입찰,"입찰 유형","광고 세트 예산","광고 세트 예산 유형","최근 영향이 큰 변경","기여 설정",결과,"결과 표시 도구",도달,노출,"지출 금액 (KRW)","웹사이트 구매 전환값","웹사이트 구매 ROAS(광고 지출 대비 수익률)","결과당 비용","CPC(링크 클릭당 비용) (KRW)",CTR(전체),"고유 아웃바운드 CTR(클릭률)",객단가,"유입 대비 전환율",AOV,"게시물 참여"
2026-04-28,2026-05-27,,0,,0,0,0,0,0,"여러 기여 설정",,,144563,295249,7893813,,,,,1.434044,,,,,
2026-04-28,2026-05-27,260401_아치스포츠_이미지_힙업_엉짱녀_4대5_KB_1안,inactive,260401_아치스포츠_힙업_엉짱녀,0,ABSOLUTE_OCPM,100000,"일일 예산",2026-04-01T12:27:46+0900,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,0,,,,,0,,,,,
2026-04-28,2026-05-27,260401_아치스포츠_이미지_힙업_애플힙_4대5_KB_1안,inactive,260401_아치스포츠_힙업_애플힙,0,ABSOLUTE_OCPM,150000,"일일 예산",2026-04-01T12:27:46+0900,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,0,,,,,0,,,,,
2026-04-28,2026-05-27,260401_아치스포츠_이미지_힙업_엉짱녀_4대5_KB_2안,inactive,260401_아치스포츠_힙업_엉짱녀,0,ABSOLUTE_OCPM,100000,"일일 예산",2026-04-01T12:27:46+0900,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,0,,,,,0,,,,,
2026-04-28,2026-05-27,260401_아치스포츠_이미지_힙업_엉짱녀_4대5_KB_3안,inactive,260401_아치스포츠_힙업_엉짱녀,0,ABSOLUTE_OCPM,100000,"일일 예산",2026-04-01T12:27:46+0900,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,0,,,,,0,,,,,
2026-04-28,2026-05-27,260401_아치스포츠_이미지_힙업_애플힙_4대5_KB_2안,inactive,260401_아치스포츠_힙업_애플힙,0,ABSOLUTE_OCPM,150000,"일일 예산",2026-04-01T12:27:46+0900,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,0,,,,,0,,,,,
2026-04-28,2026-05-27,260401_아치스포츠_이미지_힙업_애플힙_4대5_KB_4안,inactive,260401_아치스포츠_힙업_애플힙,0,ABSOLUTE_OCPM,150000,"일일 예산",2026-04-01T12:27:46+0900,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,0,,,,,0,,,,,
2026-04-28,2026-05-27,260331_아치스포츠_이미지_힙업_아이엄마_4대5_KB_6안,not_delivering,260417_아치스포츠_힙업_아이엄마,0,ABSOLUTE_OCPM,72000,"일일 예산",2026-04-17T18:22:22+0900,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,0,,,,,0,,,,,
2026-04-28,2026-05-27,260429_아치스포츠_숏폼_힙업_힙업다걸었습니다_4대5_LO,inactive,260430_아치스포츠_힙업,0,ABSOLUTE_OCPM,300000,"일일 예산",2026-05-06T14:05:33+0900,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",46,actions:offsite_conversion.fb_pixel_purchase,23531,39621,1436680,1802700,1.254768,31232.17391304,2190.060976,1.759168,2.460584,39189.13043478,0.07012195,39189.13043478,10377
2026-04-28,2026-05-27,260515_아치스포츠_숏폼_미용_힙업_뉴컬러디벨롭_4대5_WE,inactive,260430_아치스포츠_힙업,0,ABSOLUTE_OCPM,300000,"일일 예산",2026-05-06T14:05:33+0900,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,1470,1642,43248,,,,3089.142857,0.791717,0.816327,,0,,179
2026-04-28,2026-05-27,260515_아치스포츠_숏폼_미용_힙업_후기형_숨막히는_KB_인트로3,inactive,260430_아치스포츠_힙업,0,ABSOLUTE_OCPM,300000,"일일 예산",2026-05-06T14:05:33+0900,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",4,actions:offsite_conversion.fb_pixel_purchase,5249,6266,167808,189160,1.127241,41952,2151.384615,1.228854,1.409792,47290,0.05128205,47290,1211
2026-04-28,2026-05-27,260515_아치스포츠_숏폼_미용_힙업_후기형_숨막히는_KB_인트로1,inactive,260430_아치스포츠_힙업,0,ABSOLUTE_OCPM,300000,"일일 예산",2026-05-06T14:05:33+0900,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",21,actions:offsite_conversion.fb_pixel_purchase,22021,26506,799690,1057274,1.322105,38080.47619048,2579.645161,1.248774,1.239726,50346.38095238,0.06774194,50346.38095238,5965
2026-04-28,2026-05-27,260515_아치스포츠_숏폼_미용_힙업_후기형_힙테스트_9대16_KB_인트로2,inactive,260511_아치스포츠_힙업,0,ABSOLUTE_OCPM,180000,"일일 예산",2026-05-11T18:36:22+0900,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,4259,4572,83007,,,,3320.28,0.612423,0.563513,,0,,512
2026-04-28,2026-05-27,260401_아치스포츠_이미지_힙업_엉짱녀_4대5_KB_4안,inactive,260401_아치스포츠_힙업_엉짱녀,0,ABSOLUTE_OCPM,100000,"일일 예산",2026-04-01T12:27:46+0900,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,0,,,,,0,,,,,
2026-04-28,2026-05-27,260403_아치스포츠_숏폼_힙업_애플힙_9대16_LO_인트로1,inactive,260408_아치스포츠_숏폼_애플힙,0,ABSOLUTE_OCPM,80000,"일일 예산",2026-04-08T17:37:05+0900,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,0,,,,,0,,,,,
2026-04-28,2026-05-27,260403_아치스포츠_숏폼_힙업_애플힙_9대16_LO_인트로2,inactive,260408_아치스포츠_숏폼_애플힙,0,ABSOLUTE_OCPM,80000,"일일 예산",2026-04-08T17:37:05+0900,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,0,,,,,0,,,,,
